Username,Konten,Lokasi
VikohRofikoh,"""... tahu program beliau hari ini supaya programnya berkelanjutan. Kalau berkelanjutan kan jadi manfaat buat masyarakat. Saya intens (diskusi) dengan Pak Emil (Ridwan Kamil), masalah politik, pembangunan, rotasi mutasi juga,"" jelasnya. 
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
dheaputrinabila,"""Makanya kenapa saya berani gadang-gadangkan diri sekarang karena saya sudah dapat restu dari Pak Emil. Pak Emil (Ridwan Kamil) mungkin digadangkan jadi pimpinan nasional, saya persiapan,"" tutur Uu.
#BersamaJuara","Central Borneo,Indonesia"
dheaputrinabila,"""Saya tetap, kalau di sini lagi saya dengan Pak Emil (Ridwan Kamil) saya tidak mau berpisah dengan Pak Emil. Kalau Pak Emil tidak di sini, jadi capres atau gubernur daerah lain saya maju,"" ucap Uu, Rabu (15/2/2023).
#BersamaJuara","Central Borneo,Indonesia"
VikohRofikoh,"Uu mengatakan, Emil (Ridwan Kamil) ingin pemimpin Jabar selanjutnya yang memahami dan melanjutkan program yang sudah dibuat selama lima tahun kepemimpinannya.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
dheaputrinabila,"Sebelumnya, Wakil Gubernur Jawa Barat Uu Ruzhanul Ulum mengaku telah mendapat restu dari Ridwan Kamil terkait keinginannya maju sebagai calon gubernur Jabar. Hal itu berlaku jika Ridwan Kamil ikut Pilpres 2024.
#BersamaJuara","Central Borneo,Indonesia"
VikohRofikoh,"""Makanya kenapa saya berani gadang-gadangkan diri sekarang karena saya sudah dapat restu dari Pak Emil. Pak Emil (Ridwan Kamil) mungkin digadangkan jadi pimpinan nasional, saya persiapan,"" tutur Uu.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
dheaputrinabila,"""Jadi kalau bahasanya jadi kata restu, saya kira itu mah pilihan wartawan saja memilih kata-katanya. Tapi bahasa saya adalah mendoakan semua yang mempunyai maksud Allah permudah urusannya termasuk kepada istri saya,"" tutur Ridwan Kamil.
#BersamaJuara","Central Borneo,Indonesia"
VikohRofikoh,"""Saya tetap, kalau di sini lagi saya dengan Pak Emil (Ridwan Kamil) saya tidak mau berpisah dengan Pak Emil. Kalau Pak Emil tidak di sini, jadi capres atau gubernur daerah lain saya maju,"" ucap Uu, Rabu (15/2/2023).
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
dheaputrinabila,"""Saya kepada semua orang yang ingin maju menjadi gubernur Jabar saya bilang saya doakan apapun niat dan maksudnya Allah permudah, itu kalimat saya,"" kata Emil (Ridwan Kamil).
#BersamaJuara","Central Borneo,Indonesia"
dheaputrinabila,"Selain belum menentukan langkah politiknya, Emil (Ridwan Kamil) mengaku belum memutuskan sosok yang ia dukung untuk Pilkada Jabar.
#BersamaJuara","Central Borneo,Indonesia"
